"filename", "language", "C#", "Markdown", "XML", "JSON", "YAML", "comment", "blank", "total"
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\README.md", "Markdown", 0, 27, 0, 0, 0, 0, 11, 38
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.API\Controllers\IdentityController.cs", "C#", 43, 0, 0, 0, 0, 0, 12, 55
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.API\Controllers\PricesController.cs", "C#", 26, 0, 0, 0, 0, 0, 5, 31
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.API\Hubs\MarketDataHub.cs", "C#", 4, 0, 0, 0, 0, 0, 2, 6
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.API\Mappers\PricesMapper.cs", "C#", 13, 0, 0, 0, 0, 0, 3, 16
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.API\Program.cs", "C#", 78, 0, 0, 0, 0, 9, 17, 104
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.API\Properties\launchSettings.json", "JSON", 0, 0, 0, 23, 0, 0, 1, 24
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.API\Requests\GetMarketPricesRequest.cs", "C#", 5, 0, 0, 0, 0, 0, 2, 7
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.API\Services\SIgnalRMarketBroadcaster.cs", "C#", 16, 0, 0, 0, 0, 0, 1, 17
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.API\TraderForge.API.csproj", "XML", 0, 0, 20, 0, 0, 0, 5, 25
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.API\appsettings.Development.json", "JSON", 0, 0, 0, 8, 0, 0, 1, 9
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.API\appsettings.json", "JSON", 0, 0, 0, 17, 0, 0, 2, 19
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Application\Common\Result.cs", "C#", 8, 0, 0, 0, 0, 0, 2, 10
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Application\Common\ResultGeneric.cs", "C#", 9, 0, 0, 0, 0, 0, 2, 11
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Application\DTOs\Commands\RegisterTraderCommand.cs", "C#", 6, 0, 0, 0, 0, 0, 1, 7
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Application\DTOs\Queries\GetMarketPricesQuery.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 6
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Application\DTOs\Queries\LoginTraderQuery.cs", "C#", 6, 0, 0, 0, 0, 0, 1, 7
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Application\Handlers\GetMarketPricesQueryHandler.cs", "C#", 19, 0, 0, 0, 0, 0, 7, 26
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Application\Handlers\LoginTraderQueryHandler.cs", "C#", 31, 0, 0, 0, 0, 0, 8, 39
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Application\Handlers\RegisterTraderCommandHandler.cs", "C#", 47, 0, 0, 0, 0, 0, 12, 59
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Application\TraderForge.Application.csproj", "XML", 0, 0, 13, 0, 0, 0, 5, 18
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Domain\Constants\CacheKeys.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 6
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Domain\Constants\SupportedAssets.cs", "C#", 12, 0, 0, 0, 0, 0, 1, 13
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Domain\Entities\Administrator.cs", "C#", 14, 0, 0, 0, 0, 0, 3, 17
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Domain\Entities\MarketAsset.cs", "C#", 9, 0, 0, 0, 0, 0, 1, 10
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Domain\Entities\Trader.cs", "C#", 14, 0, 0, 0, 0, 0, 2, 16
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Domain\Repositories\IAdministratorRepository.cs", "C#", 8, 0, 0, 0, 0, 0, 2, 10
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Domain\Repositories\IMarketAssetRepository.cs", "C#", 7, 0, 0, 0, 0, 0, 1, 8
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Domain\Repositories\ITraderRepository.cs", "C#", 7, 0, 0, 0, 0, 0, 2, 9
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Domain\Services\IIdentityService.cs", "C#", 6, 0, 0, 0, 0, 0, 3, 9
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Domain\Services\IMarketDataBroadcaster.cs", "C#", 6, 0, 0, 0, 0, 0, 2, 8
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Domain\Services\IMarketDataProvider.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 6
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Domain\Services\IMarketService.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 6
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Domain\TraderForge.Domain.csproj", "XML", 0, 0, 12, 0, 0, 0, 4, 16
